Symbol,National Common Name,Author,Family
159,124,250,7
159,125,251,7
159,125,252,7
159,126,253,7
159,126,254,7
159,126,255,7
160,126,255,7
161,127,256,7
162,127,257,7
162,127,46,7
162,127,258,7
163,128,259,7
164,128,260,7
164,128,261,7
165,129,262,7
165,128,263,7
165,129,264,7
165,129,265,7
165,130,266,7
165,131,267,7
165,129,268,7
165,131,266,7
166,130,268,7
167,131,269,8
168,132,270,8
169,132,271,8
169,132,272,8
169,132,273,8
170,133,274,8
171,134,270,8
172,135,51,8
173,136,230,8
174,137,275,8
175,138,276,8
175,138,277,8
175,138,278,8
176,139,215,8
177,140,215,8
178,139,51,8
179,141,193,8
180,142,123,8
181,143,40,8
182,144,51,8
183,144,279,8
183,145,280,8
183,145,281,8
184,145,282,8
185,146,283,8
186,147,283,8
186,147,284,8
186,147,285,8
186,145,181,8
186,148,286,8
187,148,287,8
188,149,288,8
188,146,270,8
189,150,289,8
190,151,290,8
190,149,291,8
190,150,292,8
191,152,229,8
192,153,51,8
193,142,289,8
194,154,219,8
195,154,293,8
195,152,294,8
195,153,295,8
195,152,296,8
195,153,270,8
196,155,189,8
197,156,51,8
198,156,297,8
198,155,31,8
199,156,298,8
199,155,193,8
200,156,299,8
200,158,270,8
200,156,300,8
200,158,270,8
201,157,51,8
202,158,270,8
203,159,182,8
204,157,189,8
205,160,245,8
206,160,51,8
207,161,301,8
208,162,302,8
209,163,303,8
209,162,2,8
210,164,304,8
211,165,305,8
212,166,298,8
213,167,306,8
214,168,270,8
214,166,307,8
214,167,308,8
215,166,309,8
215,168,310,8
215,169,311,8
215,170,312,8
216,169,313,8
217,170,304,8
218,171,272,8
219,172,314,8
220,173,315,8
221,174,193,8
221,172,316,8
222,175,51,8
223,176,170,8
224,177,112,8
225,178,68,8
225,180,2,8
226,179,270,8
227,180,317,8
228,181,318,8
229,182,319,8
230,183,311,8
231,184,282,8
232,185,280,8
232,184,320,8
233,186,321,8
233,187,170,8
233,187,322,8
233,187,323,8
234,187,292,8
235,188,302,8
236,189,324,8
236,190,270,8
236,190,270,8
236,189,325,8
237,190,326,8
238,189,327,8
239,189,328,8
240,191,316,8
241,192,318,8
242,193,270,8
243,193,329,8
244,194,330,8
245,194,331,8
245,194,332,8
246,195,333,8
247,195,334,8
247,195,335,8
248,196,336,8
249,197,337,8
249,192,40,8
249,197,338,8
250,198,339,8
251,199,340,8
251,200,341,8
251,196,270,8
252,200,327,8
253,201,342,8
254,201,343,8
255,202,333,8
256,202,344,8
257,203,345,8
257,202,346,8
258,204,270,8
258,204,347,8
259,205,348,8
259,206,349,8
260,206,350,8
261,206,351,8
262,207,352,8
263,207,353,8
263,207,354,8
263,207,355,8
264,208,301,8
265,208,356,8
265,212,2,8
266,209,275,8
267,210,357,8
267,209,358,8
267,210,359,8
267,210,360,8
267,212,1,8
267,214,54,8
268,211,1,8
268,212,361,8
269,212,362,8
269,210,363,8
269,215,364,8
269,215,270,8
270,213,273,8
271,214,6,8
272,215,212,8
273,216,51,8
273,216,365,8
274,217,231,8
275,218,366,8
276,218,367,8
277,219,334,8
278,220,269,8
279,221,301,8
279,220,368,8
279,219,270,8
279,218,2,8
280,222,369,8
280,206,270,8
281,223,370,8
282,224,371,8
282,224,372,8
282,208,313,8
282,224,373,8
283,225,297,8
284,226,51,8
285,227,374,8
285,211,375,8
285,213,180,8
285,211,376,8
286,148,336,8
287,228,377,8
287,214,378,8
288,229,273,8
289,230,51,8
290,231,379,8
291,232,309,8
292,233,310,8
293,234,376,8
294,235,380,8
294,215,359,8
295,236,381,9
296,237,382,9
297,238,382,9
298,239,1,9
299,239,383,9
300,240,2,9
300,234,215,9
300,241,384,9
300,241,382,9
300,241,382,9
301,241,382,9
302,242,350,9
303,243,385,9
304,243,386,9
304,240,215,9
304,242,387,9
305,243,388,9
305,243,2,9
306,244,51,9
306,245,31,9
306,242,389,9
306,242,390,9
306,242,391,9
306,242,392,9
306,242,393,9
306,242,394,9
306,242,395,9
306,243,396,9
306,243,397,9
306,244,398,9
306,244,399,9
307,245,51,9
307,244,400,9
307,244,401,9
307,244,402,9
307,244,403,9
307,244,404,9
307,245,405,9
307,245,406,9
307,247,407,9
307,247,408,9
307,247,409,9
307,247,410,9
307,247,411,9
307,247,412,9
307,247,31,9
307,247,413,9
308,249,414,9
308,244,382,9
308,247,31,9
308,249,415,9
308,249,416,9
308,249,417,9
308,249,418,9
308,249,419,9
308,247,54,9
309,246,344,9
310,247,266,9
311,248,16,9
312,249,420,9
312,249,421,9
313,250,422,9
313,250,423,9
313,250,424,9
314,251,357,9
315,252,425,9
315,251,0,9
315,252,426,9
316,253,266,9
316,253,427,9
317,254,51,9
318,254,202,9
319,255,51,9
319,257,428,9
320,256,51,9
321,257,126,9
322,258,51,10
323,259,202,10
324,260,201,11
325,261,429,11
326,262,51,11
327,262,430,11
327,262,46,11
328,263,431,11
329,264,202,11
330,265,51,11
331,266,51,12
332,266,281,12
333,267,432,12
333,266,433,12
333,267,434,12
333,267,435,12
333,267,436,12
333,268,437,12
333,268,438,12
333,267,439,12
334,268,440,12
335,269,312,13
336,270,46,13
336,271,441,13
337,271,193,14
338,272,442,14
339,273,443,14
340,273,444,14
341,274,445,14
341,273,446,14
341,274,382,14
341,274,447,14
341,274,448,14
341,275,449,14
342,275,450,14
343,276,385,14
344,277,193,14
345,277,451,14
346,278,382,14
347,279,382,14
347,279,450,14
347,279,452,14
348,280,1,14
349,281,186,14
349,282,16,14
350,282,2,14
351,283,453,14
352,284,450,14
352,278,421,14
353,285,454,14
354,286,2,14
355,287,429,14
356,288,1,14
357,289,1,14
358,290,2,14
359,291,455,14
359,292,456,14
360,292,2,14
361,293,457,14
361,284,458,14
362,294,1,14
362,289,421,14
363,295,459,14
364,296,460,14
364,296,461,14
365,297,51,14
366,297,462,14
366,297,463,14
366,297,464,14
367,298,31,14
368,299,465,14
368,297,466,14
368,298,467,14
368,298,468,14
368,298,469,14
369,298,470,14
370,300,51,14
371,301,146,14
371,301,471,14
371,302,472,14
371,302,473,14
371,302,474,14
371,302,475,14
372,302,476,14
373,303,477,14
373,294,2,14
374,304,478,14
374,304,479,14
374,305,480,14
375,305,397,14
376,306,481,14
376,306,68,14
377,307,482,14
377,307,483,14
377,307,484,14
378,308,485,14
378,305,16,14
378,309,486,14
379,309,487,14
380,309,488,14
380,309,489,14
380,312,459,14
381,310,490,14
381,309,491,14
381,310,492,14
381,310,493,14
381,310,494,14
381,310,495,14
381,310,496,14
382,311,497,14
382,312,498,14
382,312,499,14
383,312,485,14
384,313,477,14
384,314,453,14
384,318,2,14
385,314,443,14
385,315,500,14
386,315,453,14
386,318,2,14
387,316,501,14
387,317,502,14
387,318,1,14
388,317,501,14
388,318,1,14
389,318,172,14
390,319,51,15
390,318,305,15
391,320,219,15
391,321,503,15
392,321,504,15
392,323,505,15
392,323,74,15
393,322,51,15
394,323,506,15
395,324,507,15
396,325,508,15
397,324,508,15
397,325,509,15
398,326,510,15
399,327,511,15
400,328,51,15
401,328,512,15
402,329,513,16
403,330,422,16
404,331,51,16
405,331,514,16
405,330,515,16
405,330,387,16
405,330,516,16
405,330,517,16
405,330,518,16
405,330,31,16
406,332,519,16
406,330,387,16
406,330,520,16
406,330,521,16
406,330,146,16
406,330,40,16
406,330,522,16
406,330,523,16
406,330,524,16
406,333,525,16
406,329,526,16
406,329,527,16
406,330,528,16
406,330,529,16
406,330,530,16
406,331,531,16
406,331,532,16
406,331,533,16
406,335,534,16
406,330,213,16
406,335,535,16
407,333,536,16
407,335,2,16
408,334,537,16
409,335,538,16
409,335,539,16
409,333,51,16
410,335,442,16
411,336,540,16
412,336,541,16
413,336,542,16
413,336,543,16
414,337,536,16
414,342,2,16
415,338,536,16
415,342,2,16
416,339,544,16
416,342,2,16
417,340,327,16
418,341,544,16
418,342,2,16
419,342,545,16
419,342,546,16
419,344,429,16
420,343,2,16
420,343,547,16
420,342,2,16
421,344,548,16
422,344,549,16
422,345,550,16
423,345,551,16
423,345,552,16
424,346,501,16
425,347,504,16
426,348,302,16
427,348,553,16
427,348,554,16
427,348,555,16
427,348,556,16
427,348,557,16
427,348,558,16
428,348,559,16
428,344,387,16
428,344,155,16
429,349,560,16
429,346,31,16
429,348,561,16
429,350,562,16
429,350,563,16
429,349,40,16
430,350,562,16
431,351,564,16
431,349,397,16
432,350,565,16
432,351,566,16
432,351,567,16
432,351,568,16
432,351,569,16
432,353,40,16
433,352,570,16
433,352,571,16
434,353,454,16
435,354,564,16
435,354,2,16
436,355,564,16
436,354,2,16
437,356,564,16
437,354,2,16
438,357,572,16
439,357,573,16
439,358,574,16
439,353,40,16
440,358,219,16
440,359,575,16
440,359,576,16
441,359,577,16
441,357,429,16
442,360,51,16
443,360,578,16
443,364,51,16
444,361,208,16
445,362,2,16
446,363,357,16
446,363,579,16
446,365,387,16
446,363,580,16
447,364,581,16
447,365,2,16
448,365,582,16
448,365,1,16
449,366,581,16
449,365,2,16
450,367,581,16
450,365,2,16
451,368,583,16
452,368,584,16
452,368,305,16
452,368,585,16
453,369,581,16
453,370,2,16
454,370,275,16
455,371,357,16
455,371,387,16
455,371,586,16
455,357,461,16
455,369,587,16
455,369,588,16
455,369,589,16
455,371,387,16
456,372,40,16
456,376,40,16
456,373,590,16
456,375,591,16
456,375,592,16
457,373,51,16
458,374,593,16
458,371,357,16
458,375,594,16
459,373,595,16
459,375,596,16
460,375,586,16
461,376,361,16
462,377,51,16
462,370,538,16
463,378,275,16
464,379,597,16
464,376,598,16
465,380,599,16
465,376,600,16
465,376,601,16
465,376,602,16
465,376,603,16
465,376,604,16
465,376,605,16
465,378,51,16
466,381,31,16
466,379,606,16
466,382,31,16
466,382,31,16
467,382,31,16
467,381,607,16
467,381,608,16
467,382,31,16
467,382,31,16
467,383,609,16
467,382,31,16
467,383,608,16
468,383,387,16
468,381,387,16
468,382,31,16
468,383,610,16
468,383,611,16
468,383,612,16
468,380,267,16
469,384,40,16
469,382,31,16
469,383,613,16
469,380,267,16
469,382,31,16
469,382,31,16
469,383,614,16
469,382,31,16
469,382,31,16
469,382,31,16
469,383,615,16
470,385,31,16
471,386,387,16
471,384,31,16
471,387,387,16
472,385,616,16
472,383,608,16
472,385,617,16
472,385,608,16
473,385,618,16
473,391,181,16
473,387,387,16
473,385,619,16
473,387,620,16
473,387,621,16
